CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;1;23.0;27.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;2;22.1;27.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;3;21.1;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;4;21.0;27.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;5;23.0;27.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;6;20.9;26.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;7;20.5;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;8;21.5;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;9;20.9;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;10;20.3;25.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;11;20.6;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;12;21.0;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;13;21.3;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;14;21.2;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;15;20.9;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;16;20.7;28.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;17;20.8;26.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;18;20.2;27.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;19;22.1;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;20;20.9;25.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;21;19.8;25.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;22;19.9;24.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;23;19.7;25.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;24;19.2;25.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;25;18.7;24.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;26;19.4;25.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;27;18.9;25.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;28;19.7;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;29;19.8;24.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;30;19.2;24.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;3;31;19.7;24.9
