CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;1;17.5;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;2;17.7;19.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;3;18.0;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;4;17.0;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;5;14.3;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;6;17.0;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;7;16.1;19.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;8;18.0;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;9;17.5;20.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;10;17.2;19.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;11;17.4;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;12;16.7;19.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;13;17.1;20.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;14;11.6;19.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;15;15.7;18.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;16;15.7;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;17;16.6;19.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;18;15.9;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;19;17.4;19.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;20;13.6;20.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;21;16.2;19.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;22;17.5;19.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;23;17.4;19.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;24;14.4;18.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;25;12.2;19.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;26;12.6;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;27;12.7;19.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;28;17.3;19.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;29;17.0;19.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;6;30;16.2;18.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;1;15.2;18.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;2;16.3;19.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;3;16.8;18.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;4;14.2;18.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;5;16.0;19.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;6;15.5;19.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;7;15.7;20.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;8;13.5;18.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;9;14.2;18.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;10;17.0;19.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;11;16.9;18.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;12;14.4;18.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;13;14.9;19.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;14;14.0;18.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;15;12.5;18.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;16;15.2;18.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;17;14.3;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;18;17.3;18.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;19;16.5;18.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;20;16.5;19.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;21;13.6;18.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;22;16.3;18.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;23;15.7;18.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;24;14.0;18.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;25;15.3;18.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;26;15.9;20.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;27;14.1;20.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;28;16.3;18.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;29;16.2;18.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;6;30;15.7;17.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;1;0.4;22.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;2;3.6;23.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;3;2.5;23.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;4;4.2;22.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;5;5.7;22.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;6;11.3;20.9
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;7;3.1;8.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;8;0.6;17.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;9;0.6;20.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;10;-1.8;22.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;11;0.2;20.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;12;-1.6;19.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;13;4.2;19.9
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;14;-3.0;21.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;15;-0.9;22.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;16;0.2;21.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;17;5.3;23.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;18;0.9;21.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;19;-1.6;23.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;20;-0.6;21.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;21;-1.6;21.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;22;-0.5;21.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;23;-2.7;20.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;24;2.3;22.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;25;2.9;20.4
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;26;1.4;19.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;27;2.3;21.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;28;-2.0;20.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;29;-1.3;21.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;6;30;0.1;22.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;1;13.4;18.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;2;11.8;17.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;3;14.2;16.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;4;13.8;16.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;5;13.5;17.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;6;11.4;16.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;7;14.2;17.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;8;13.0;16.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;9;12.4;16.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;10;13.7;18.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;11;15.7;19.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;12;12.4;18.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;13;14.1;16.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;14;11.5;16.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;15;10.3;16.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;16;11.6;17.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;17;11.6;17.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;18;14.1;15.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;19;13.2;16.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;20;14.2;18.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;21;9.8;16.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;22;13.2;16.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;23;12.1;17.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;24;10.9;17.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;25;13.8;19.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;26;13.9;22.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;27;12.7;17.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;28;14.9;16.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;29;14.4;16.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2017;6;30;13.9;16.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;1;18.4;25.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;2;19.0;25.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;3;19.3;24.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;4;19.5;23.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;5;17.0;23.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;6;17.4;24.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;7;17.6;23.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;8;17.6;23.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;9;18.3;25.0
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;10;19.5;23.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;11;18.1;21.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;12;17.3;21.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;13;16.9;21.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;14;16.9;21.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;15;17.0;21.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;16;16.6;21.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;17;13.7;23.0
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;18;19.0;23.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;19;20.4;24.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;20;20.1;23.0
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;21;13.5;23.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;22;19.2;21.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;23;17.9;21.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;24;17.2;21.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;25;15.2;22.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;26;14.6;22.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;27;16.1;23.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;28;17.4;23.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;29;18.9;23.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2017;6;30;20.2;21.7
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2017;6;1;8.1;16.8
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2017;6;2;12.4;16.6
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2017;6;3;12.6;18.2
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2017;6;4;6.5;17.7
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2017;6;5;11.4;16.7
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2017;6;6;12.9;16.1
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2017;6;7;12.3;16.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2017;6;8;10.3;21.9
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2017;6;9;8.3;25.8
