CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;1;15.5;19.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;2;16.2;19.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;3;16.4;21.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;4;16.0;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;5;16.6;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;6;16.8;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;7;17.1;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;8;15.9;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;9;17.5;21.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;10;17.7;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;11;17.7;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;12;18.2;21.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;13;18.1;21.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;14;18.4;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;15;18.4;21.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;16;17.8;21.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;17;18.0;22.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;18;13.3;21.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;19;13.8;22.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;20;15.8;22.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;21;14.3;22.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;22;17.9;22.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;23;18.3;22.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;24;16.8;22.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;25;15.1;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;26;17.9;21.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;27;13.8;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;28;15.1;22.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;29;14.7;21.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;11;30;15.0;21.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;1;15.0;18.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;2;15.4;19.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;3;15.9;19.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;4;14.9;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;5;16.2;19.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;6;16.2;18.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;7;15.4;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;8;16.3;20.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;9;17.0;20.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;10;16.9;19.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;11;16.0;19.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;12;16.7;21.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;13;16.5;22.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;14;17.5;21.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;15;18.8;21.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;16;18.0;21.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;17;17.7;20.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;18;14.9;21.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;19;15.5;20.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;20;14.5;21.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;21;14.8;21.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;22;16.6;20.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;23;17.4;21.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;24;15.9;21.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;25;14.2;20.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;26;16.2;20.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;27;14.7;20.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;28;15.9;21.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;29;15.0;21.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;11;30;15.5;21.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;1;-0.1;24.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;2;0.9;24.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;3;3.9;24.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;4;2.1;25.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;5;2.6;25.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;6;3.8;24.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;7;4.3;24.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;8;3.7;24.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;9;4.5;26.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;10;5.9;25.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;11;4.8;25.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;12;9.0;25.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;13;7.9;25.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;14;8.5;26.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;15;4.7;25.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;16;6.1;25.9
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;17;4.2;24.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;18;2.9;22.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;19;2.8;22.4
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;20;2.5;23.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;21;2.2;25.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;22;3.2;25.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;23;1.8;24.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;24;2.6;23.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;25;1.3;25.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;26;3.7;25.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;27;3.3;25.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;28;4.0;26.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;29;4.1;25.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;11;30;3.7;24.5
