CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;1;18.4;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;2;18.9;22.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;3;18.1;22.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;4;18.0;22.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;5;15.3;22.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;6;17.5;21.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;7;18.8;23.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;8;19.0;23.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;9;17.5;22.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;10;17.0;23.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;11;18.8;23.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;12;19.9;23.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;13;20.1;23.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;14;15.3;22.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;15;19.1;22.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;16;15.0;22.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;17;14.7;22.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;18;14.6;21.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;19;15.3;22.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;20;15.3;23.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;21;17.9;23.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;22;14.3;23.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;23;14.2;22.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;24;14.7;23.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;25;14.8;22.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;26;18.8;23.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;27;16.1;22.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;28;15.7;23.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;29;14.7;22.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;11;30;18.5;22.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;1;17.9;20.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;2;15.5;20.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;3;18.3;21.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;4;18.1;21.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;5;15.8;21.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;6;15.9;21.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;7;18.5;21.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;8;18.4;21.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;9;15.5;21.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;10;14.8;21.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;11;17.0;21.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;12;18.8;21.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;13;18.4;22.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;14;15.0;22.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;11;15;17.2;21.7
