CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;1;17.1;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;2;17.1;20.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;3;16.9;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;4;17.3;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;5;17.3;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;6;17.8;21.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;7;18.2;21.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;8;17.4;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;9;17.0;21.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;10;16.9;21.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;11;17.2;21.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;12;17.4;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;13;17.4;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;14;17.1;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;15;16.3;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;16;18.0;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;17;18.1;22.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;18;17.8;21.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;19;16.2;20.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;20;16.6;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;21;17.1;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;22;14.8;22.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;23;17.5;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;24;17.0;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;25;16.3;22.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;26;17.6;21.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;27;18.5;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;28;15.7;21.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;29;15.5;22.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;30;17.9;22.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;10;31;18.0;22.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;1;16.7;20.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;2;17.0;19.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;3;14.9;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;4;15.9;19.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;5;16.4;19.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;6;17.2;20.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;7;17.5;21.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;8;15.4;20.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;9;15.5;20.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;10;15.8;20.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;11;14.6;20.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;12;15.1;20.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;13;15.9;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;14;16.7;20.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;15;15.6;20.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;16;16.9;20.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;17;17.7;20.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;18;16.4;20.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;10;19;13.6;18.4
