CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;1;10.3;18.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;2;16.5;19.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;3;14.7;19.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;4;16.6;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;5;14.3;18.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;6;15.5;18.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;7;15.7;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;8;15.9;18.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;9;16.0;18.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;10;16.5;19.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;11;16.2;19.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;12;16.4;19.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;13;16.4;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;14;10.3;19.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;15;11.6;19.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;16;15.9;18.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;17;16.3;18.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;18;16.4;18.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;19;16.5;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;9;20;16.3;19.4
