CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;SumaDiaria
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;01;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;02;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;03;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;04;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;05;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;06;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;07;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;08;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;09;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;10;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;11;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;12;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;13;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;14;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;15;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;16;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;17;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;18;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;19;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;20;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;21;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;22;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;23;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;24;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;25;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;26;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;27;0.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2017;02;28;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;01;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;02;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;03;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;04;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;05;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;06;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;07;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;08;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;09;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;10;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;11;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;12;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;13;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;14;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;15;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;16;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;17;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;18;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;19;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;20;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;21;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;22;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;23;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;24;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;25;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;26;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;27;0.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2017;02;28;0.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;02;01;0.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;02;02;0.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;02;03;0.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;02;04;0.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;02;05;0.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;02;06;0.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;02;07;0.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;02;08;0.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2017;02;09;0.0
